Age,Sex,Income,Y
18,1,4720,2
18,0,4680,5
18,1,4510,6
18,1,4410,6
18,1,4990,6
19,0,5820,4
19,0,3640,6
19,0,5680,2
19,0,6970,4
20,0,8190,6
20,0,7060,4
20,0,6340,6
20,1,3860,6
20,0,4830,6
20,0,5080,3
20,1,6270,1
20,1,5330,1
20,0,4230,4
20,0,7630,4
21,1,6530,2
21,1,5710,5
21,0,6950,4
21,0,4170,2
21,1,6220,6
21,0,4900,3
21,0,6240,2
21,1,5380,2
22,0,6180,6
22,0,7110,1
22,1,5450,2
22,1,6670,4
22,0,4290,4
23,1,4710,1
23,1,7380,6
23,0,5870,4
23,0,3610,3
23,1,4150,1
23,1,5230,1
23,1,6480,2
23,1,5340,4
23,0,6170,6
23,0,6600,6
23,1,7610,4
24,0,5510,4
24,0,5390,6
24,0,3840,1
24,1,5550,2
24,0,4860,3
24,0,4480,2
24,1,5250,4
24,0,6670,2
25,1,3660,5
25,1,5000,1
25,0,5570,4
26,1,4550,6
26,1,5820,2
26,1,5910,2
26,0,5410,2
26,0,3330,4
26,1,9110,4
26,0,5230,6
26,0,6200,3
26,1,5750,1
26,0,6680,2
26,0,6410,2
26,1,5220,1
26,0,5870,6
27,0,4510,6
27,0,6460,2
27,0,4970,6
27,0,8830,2
27,0,3910,6
27,1,4960,1
27,0,6420,2
27,1,6030,1
27,1,4840,1
28,1,4460,1
28,0,5610,2
28,0,5430,1
28,1,3810,1
28,1,5480,4
28,1,5660,1
28,0,5640,4
28,1,4410,2
28,1,5990,1
28,1,7170,1
28,0,5970,2
29,0,4340,2
29,0,4990,2
29,0,5840,4
29,1,4780,2
29,0,3540,4
29,1,6500,2
30,1,4610,2
30,0,4860,1
30,0,7360,6
30,0,4660,5
30,0,6450,4
30,0,4230,6
30,1,5070,2
31,1,5370,2
31,0,4310,4
31,1,4800,2
31,1,5410,1
31,0,6230,1
31,0,3910,6
31,1,5080,1
32,0,6340,4
32,0,4890,2
32,1,5700,5
32,0,6010,1
32,1,5750,4
32,0,6210,2
32,0,5310,3
32,0,5010,6
32,0,3210,3
33,1,5350,2
33,0,5940,4
33,0,6060,2
33,0,4870,6
33,1,7770,6
33,1,5770,1
33,1,5590,5
33,0,7020,4
33,1,4720,6
33,1,4980,4
33,0,8800,2
33,0,5460,4
33,0,7550,3
33,1,4080,6
33,1,5240,4
33,1,5870,1
33,0,5780,2
34,1,4450,4
34,0,5470,4
34,1,4390,2
34,0,6280,6
34,0,6770,2
34,0,3490,1
35,0,6970,2
35,0,4250,2
35,1,5960,6
35,1,6210,4
35,0,5230,1
35,1,4790,1
35,1,5630,1
35,1,5950,1
36,0,6500,6
36,0,3610,1
36,1,3930,1
36,1,7250,6
36,0,6710,6
36,0,5940,4
36,0,6280,1
36,0,6540,6
37,1,3200,2
37,1,6800,6
37,1,4940,2
37,0,5700,4
37,0,5130,3
37,1,6480,1
38,0,5080,4
38,0,6040,6
38,0,5040,2
38,1,4380,3
38,0,6940,2
38,0,6320,4
38,1,7690,1
38,0,5520,2
38,1,6820,3
39,0,8080,3
39,1,5150,1
39,0,4180,4
39,1,5190,1
39,1,5220,2
39,0,5610,6
39,1,7670,1
40,0,5100,1
40,0,5870,2
40,1,5200,1
40,0,5470,3
40,1,5800,2
40,0,7100,3
40,1,5580,1
41,1,6280,4
41,0,6360,1
41,0,6540,6
41,1,4850,6
41,0,7540,4
41,1,5050,1
41,1,5330,2
41,0,7210,6
42,0,7050,2
42,1,4380,1
42,0,4570,6
42,1,4150,2
42,0,5650,4
42,0,5630,2
42,1,5860,1
42,1,6080,2
43,0,4830,2
43,0,4460,4
43,0,6690,6
43,0,6330,3
43,0,4030,6
43,0,5340,2
43,1,4550,2
43,1,3600,6
43,1,5610,2
43,0,5360,2
43,0,5340,6
44,0,5690,6
44,1,6500,2
44,0,5670,4
44,1,4810,2
44,0,4700,2
44,0,5300,1
44,1,5790,1
44,0,4420,6
44,1,5250,1
45,0,6610,6
45,0,5330,4
45,0,4740,3
45,0,5150,2
45,1,6810,4
45,1,6080,1
46,1,6970,6
46,0,5600,1
46,1,5910,2
46,0,4870,1
46,1,6150,1
46,1,4920,1
46,0,4100,6
46,1,5590,2
47,0,8040,6
47,1,6390,1
47,0,6870,4
47,1,5850,1
47,1,4820,1
47,0,5230,2
48,1,5160,5
48,0,4960,6
48,1,6270,1
48,0,4290,1
48,1,6480,4
48,1,6470,6
48,0,4280,6
48,1,6190,2
49,1,8850,2
49,0,4870,4
49,0,6450,6
49,0,4660,4
49,1,6800,4
50,1,5720,4
50,1,7580,4
50,1,4070,1
50,1,5390,2
50,1,4900,1
51,1,5240,1
51,0,4800,1
51,0,4610,2
51,1,6110,4
51,1,4380,1
51,0,7330,6
51,1,4300,1
51,1,5560,4
51,0,6060,2
51,1,6120,6
51,1,5130,1
51,1,5530,1
52,1,6600,1
52,1,4070,1
52,1,4660,1
52,0,5810,6
52,1,4980,2
52,1,7160,2
52,0,6230,4
52,0,5520,2
53,1,4030,1
53,0,5470,4
53,1,5110,1
53,1,5340,2
54,1,4300,2
54,0,6020,4
54,1,4420,2
54,0,5200,6
54,0,5880,1
54,1,4660,2
54,1,6120,4
54,1,4190,1
54,1,3100,6
54,0,5980,2
54,1,6440,1
54,0,5140,2
55,0,6020,2
55,1,4320,1
55,1,5310,1
55,0,3690,4
55,1,6900,2
55,0,7900,4
