X,Y,KID,GID
7,4570,1,1
10,4820,1,1
16,5180,1,1
25,5350,1,1
5,4270,1,1
25,6030,1,1
26,6100,1,1
18,4840,1,1
17,5080,1,1
1,3800,1,1
5,4530,1,1
4,3910,1,1
19,5590,1,1
10,4530,1,1
21,5170,1,1
12,5530,2,1
17,6530,2,1
22,7630,2,1
9,5380,2,1
18,7080,2,1
21,7400,2,1
6,4370,2,1
15,6460,2,1
4,4220,2,1
7,4440,2,1
10,5040,2,1
2,3760,2,1
15,5220,3,1
27,6230,3,1
14,5150,3,1
18,5420,3,1
20,5290,3,1
18,5400,3,1
11,4110,3,1
26,6660,3,1
22,6410,3,1
25,5920,3,1
28,7220,4,1
24,7260,4,1
22,7280,4,1
20,9270,5,2
19,10360,5,2
12,6400,5,2
15,8510,5,2
10,5680,5,2
16,8320,5,2
1,1910,5,2
12,7300,5,2
10,7420,5,2
7,5620,5,2
17,7220,5,2
15,8490,6,2
12,8990,6,2
9,7880,6,2
14,7660,6,2
13,7870,6,2
15,9230,6,2
9,6750,6,2
14,8110,6,2
11,6600,6,2
10,5980,7,2
13,7570,7,2
26,10970,7,2
3,3580,7,2
14,7010,7,2
23,10970,7,2
10,5830,7,2
7,5600,7,2
0,3880,7,2
3,4200,7,2
7,4930,7,2
4,4230,7,2
24,10070,7,2
6,5570,7,2
34,13310,7,2
33,13980,7,2
24,10030,7,2
23,8630,8,2
23,9200,8,2
22,8860,8,2
14,6370,8,2
26,8730,8,2
21,8600,8,2
20,7790,8,2
12,7000,8,2
17,6830,8,2
24,8800,9,2
15,5670,9,2
26,8630,9,2
27,9270,9,2
20,6810,9,2
7,4840,9,2
26,8370,9,2
4,3030,9,2
22,7400,9,2
15,7260,9,2
27,8490,9,2
16,6320,10,2
20,8140,10,2
4,4340,10,2
18,8640,10,2
8,6220,10,2
10,5680,10,2
16,8330,10,2
2,2710,10,2
8,2670,10,2
13,5890,10,2
19,7410,10,2
7,2440,10,2
2,4060,10,2
19,7140,10,2
4,3780,10,2
1,1610,10,2
8,5610,10,2
7,6710,10,2
5,3380,10,2
13,6250,10,2
16,9130,10,2
9,6270,10,2
19,9880,10,2
5,4260,10,2
13,6210,10,2
7,4280,10,2
26,11980,11,2
20,8280,11,2
16,8090,11,2
22,9740,11,2
24,11900,11,2
26,11720,12,2
18,8180,12,2
34,15210,12,2
19,9600,12,2
30,12990,12,2
22,10810,12,2
21,10160,12,2
2,3010,12,2
9,6390,12,2
27,12280,12,2
20,8210,13,2
20,7650,13,2
16,7810,13,2
14,8580,13,2
5,5320,13,2
13,8100,13,2
12,7630,13,2
1,3700,13,2
8,4660,13,2
18,7240,14,2
8,5650,14,2
10,3580,14,2
3,3300,14,2
4,4480,14,2
11,5800,14,2
8,5240,14,2
13,6220,14,2
12,6030,14,2
2,3470,14,2
6,3920,14,2
0,2380,14,2
20,7620,14,2
8,4630,14,2
20,7140,14,2
10,5510,14,2
9,5150,14,2
12,8160,15,2
6,4510,15,2
10,6240,15,2
11,6860,15,2
12,6370,15,2
9,6050,15,2
6,4760,15,2
5,3530,15,2
13,7410,15,2
12,6910,15,2
13,8300,15,2
15,5160,16,2
24,8140,16,2
28,8520,16,2
31,7730,16,2
18,6750,16,2
25,7670,16,2
19,6740,16,2
24,8240,16,2
13,5480,16,2
24,9180,16,2
24,7690,16,2
26,6710,16,2
28,9130,16,2
29,7350,16,2
8,4530,17,2
25,9680,17,2
30,11090,17,2
27,10310,17,2
30,11990,17,2
10,6440,17,2
29,11370,17,2
13,5980,18,2
15,7360,18,2
15,7660,18,2
14,6980,18,2
12,6620,18,2
15,6750,18,2
14,6260,18,2
12,7390,18,2
14,7240,18,2
13,6530,18,2
15,7560,18,2
12,7810,18,2
15,6080,19,2
20,7980,19,2
17,7390,19,2
19,6090,19,2
12,5910,19,2
12,4580,19,2
17,4720,19,2
14,4430,19,2
8,5720,20,2
20,11040,20,2
13,7640,20,2
26,11760,20,2
3,4150,20,2
32,14710,20,2
21,9720,20,2
21,9850,20,2
24,10440,20,2
9,4780,21,2
7,4380,21,2
10,5370,21,2
15,7260,21,2
5,4460,21,2
12,6090,21,2
8,4750,21,2
13,6240,21,2
14,6700,21,2
15,6610,21,2
14,6880,21,2
5,4530,21,2
8,5210,22,2
26,10400,22,2
6,5550,22,2
27,10330,22,2
32,12530,22,2
16,7980,22,2
2,5190,22,2
21,8250,22,2
27,10650,22,2
5,5070,22,2
32,13010,22,2
22,9890,22,2
28,10700,22,2
25,8240,23,3
6,5710,23,3
20,7560,23,3
33,9400,23,3
20,7850,24,3
14,7010,24,3
22,8070,24,3
11,6630,24,3
11,6620,24,3
8,6200,24,3
13,6870,24,3
32,9430,24,3
8,6370,25,3
7,5830,25,3
8,6540,25,3
20,8010,25,3
19,7510,25,3
25,8150,25,3
11,6210,26,3
12,6500,26,3
8,5900,26,3
10,6140,26,3
13,6440,26,3
12,6450,26,3
15,6730,26,3
16,6950,27,3
12,6530,27,3
15,6950,27,3
2,5340,27,3
8,6100,27,3
19,7080,28,3
14,6630,28,3
14,6680,28,3
12,6430,28,3
14,6650,28,3
18,7040,28,3
13,6370,29,3
8,5790,29,3
7,5770,29,3
5,5460,29,3
14,6510,30,3
20,7180,30,3
25,8000,30,3
16,6700,30,3
22,7460,30,3
17,6900,30,3
23,7400,30,3
20,7200,30,3
26,8050,30,3
20,7270,30,3
